axis,domain,loading
axis4,hodur_hospitalisation_lt,0.6705465872520061
axis4,hooccur_arret_travail_actuel,0.1650329090670717
axis4,hooccur_arret_travail,0.1415024468428884
axis4,maristat,-0.11739530730252684
axis4,edulevel,-0.2740535702679987
axis4,stprof,-0.030338058576834748
axis4,lvsbjind,-0.025197186769043388
axis4,metabolic_syndrome,0.11677478518107531
axis4,cholesterol,0.007707748195654475
axis4,inflammation,0.1261913665136005
axis4,prolactin,0.12268391177334093
axis4,hepatic,0.012396412724647124
axis4,renal,-0.01679725843024709
axis4,cardiac_qtc,0.031016387652471052
axis5,prism,0.049545455596545225
axis5,staya,-0.024042466535247973
axis5,mars,0.042156716011684
axis5,mathys,-0.04908875692282638
axis5,altman,-0.02471817210517777
axis5,qidsr,0.03060958439449147
axis5,psqi,0.001971221651472576
axis5,ess,0.01618869978902871
axis5,eq5d,0.004710359405184932
axis5,eq,-0.07587871588322764
axis5,fagers,0.22214967960441293
axis5,ctq,0.0031721798304028552
axis5,bis,0.06636826935663205
axis5,wurs,0.03753205132222277
axis5,csm,-0.075258209042301
axis5,egf,-0.05808474834739946
axis5,madrs,-0.053089301769859
axis5,ymrs,-0.05315844428565118
axis5,fast,0.08404205141105299
axis5,isf,0.05894119657061541
axis5,suncf_cigarettes_lt,0.12982298954059185
axis5,sudose_cigarettes_lt,0.11786534235155395
axis5,agedebut_cigarettes_lt,-0.06762493848463026
axis5,agetrt,-0.023693740049733642
axis5,agedebutpremier_episode,0.006803553665925649
axis5,cetermpremier_episode,0.08561399028610418
axis5,ppartpremier_episode,0.024739072032335527
axis5,remisc,-0.04719523851209184
axis5,saison,0.014460029131070019
axis5,somat_all,0.017112929437790317
axis5,pregnn_rporres,0.017080546837705317
axis5,menostat_rporres,0.0630430501650249
axis5,mere_structure,0.07603424827525747
axis5,mere_trouble,-0.11584583782070748
axis5,mere_suicide,-0.09550924334177367
axis5,pere_structure,0.10443146364023737
axis5,pere_trouble,-0.14593175323725477
axis5,pere_suicide,-0.11322857566190092
axis5,agedebut_hospitalisation,0.03180499364862896
axis5,nboccur_hospitalisation_lt,0.07307791895036324
axis5,hodur_hospitalisation_lt,0.012126866893654227
axis5,hooccur_arret_travail_actuel,0.010434574076500435
axis5,hooccur_arret_travail,0.01792569075458786
axis5,maristat,-0.003494269408158476
axis5,edulevel,-0.1309070695445027
axis5,stprof,-0.02500995408834875
axis5,lvsbjind,-0.04380223707448465
axis5,metabolic_syndrome,0.6507466490067179
axis5,cholesterol,0.42595269857526646
axis5,inflammation,0.29559236234620195
axis5,prolactin,-0.05782655386799076
axis5,hepatic,0.3330361717437732
axis5,renal,0.03061680305895279
axis5,cardiac_qtc,-0.08998877264279208
axis6,prism,0.04048714322858562
axis6,staya,0.006705468290934899
axis6,mars,0.08339901807119522
axis6,mathys,0.013745392945283867
axis6,altman,0.02707670222378329
axis6,qidsr,0.000773116731002191
axis6,psqi,0.0608711168455162
axis6,ess,-0.004876875953715194
axis6,eq5d,-0.019029659568652768
axis6,eq,-0.0451402549307331
axis6,fagers,-0.175389694246413
axis6,ctq,-0.06609838378786306
axis6,bis,-0.08769757763240406
axis6,wurs,-0.14925529936646875
axis6,csm,0.0004970319088639932
