item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
trig,overall_severity,metabolic,continuous,lognormal,bifactor_G,0.16376163369999025,0.16376163369999025,0.11415567046955812,0.21342859908318032,True
trig,metabolic,metabolic,continuous,lognormal,primary,0.3409235907179546,0.3409235907179546,0.2950404381661679,0.3874240585321665,True
tsh_lbstresc,overall_severity,metabolic,continuous,gaussian,bifactor_G,-2.459729488078784e-05,2.459729488078784e-05,-0.06619189913682354,0.06857452015633078,False
tsh_lbstresc,metabolic,metabolic,continuous,gaussian,primary,0.05532634734903226,0.05532634734903226,0.005674523173056971,0.12380309524495205,True
urate,overall_severity,metabolic,continuous,lognormal,bifactor_G,-0.09803770998866931,0.09803770998866931,-0.14795572186422523,-0.04663019863846338,True
urate,metabolic,metabolic,continuous,lognormal,primary,0.3650227962248843,0.3650227962248843,0.31740535282912097,0.41340983379235513,True
urea_lbstresc,overall_severity,metabolic,continuous,gaussian,bifactor_G,-0.05500587920852114,0.05500587920852114,-0.11512881788564891,0.0046467402466587055,False
urea_lbstresc,metabolic,metabolic,continuous,gaussian,primary,0.06416910103363195,0.06416910103363195,0.012053679432755128,0.12763086631400122,True
verbal_fluency_phonemic,overall_severity,cognition,continuous,gaussian,bifactor_G,0.18856000591373986,0.18856000591373986,0.13140261667577155,0.24909372024507,True
verbal_fluency_phonemic,cognition,cognition,continuous,gaussian,primary,0.3919315813812958,0.3919315813812958,0.3353296409614528,0.44978899979924747,True
verbal_fluency_semantic,overall_severity,cognition,continuous,gaussian,bifactor_G,0.3018164831226312,0.3018164831226312,0.24103524812325858,0.3640123349887447,True
verbal_fluency_semantic,cognition,cognition,continuous,gaussian,primary,0.48629595737320674,0.48629595737320674,0.4314150085694482,0.5437250001811489,True
vitd,overall_severity,metabolic,continuous,gaussian,bifactor_G,0.11414420493705518,0.11414420493705518,0.04715622980448315,0.1799295620381028,True
vitd,metabolic,metabolic,continuous,gaussian,primary,0.10957448448566715,0.10957448448566715,0.041448398057303756,0.17599008637896849,True
wais_code_std,overall_severity,cognition,continuous,gaussian,bifactor_G,0.29627462340188504,0.29627462340188504,0.24160535495142133,0.3498847984797048,True
wais_code_std,cognition,cognition,continuous,gaussian,primary,0.47658759204763124,0.47658759204763124,0.4269942329368187,0.5262841470245201,True
wais_digitspan_std,overall_severity,cognition,continuous,gaussian,bifactor_G,0.1310892249361448,0.1310892249361448,0.07447045754613071,0.191130685300818,True
