item,home_factor,family,modeling_block,item_sign,n_obs,frac_missing,n_distinct,modal_frac,frac_zero,minimum,maximum,mean,sd,median,skew,kurtosis,normaltest_p_raw,normaltest_p_yeojohnson,empirical_form,recommended_tier,n_bp,n_sz,n_dr
verbal_fluency_semantic,cognition,gaussian,continuous,-1,5388,0.4021968268057251,63,0.045842613214550854,0.0001855976243504083,0.0,69.0,30.403489235337787,9.035552298872078,30.0,0.23263468154152042,0.138355425725043,6.718693775348051e-12,0.10115386945674086,continuous_symmetric,gaussianize,4166,917,305
wais_code_std,cognition,gaussian,continuous,-1,5472,0.3928769555087096,19,0.14601608187134502,0.0,1.0,19.0,8.50968567251462,3.128331167787432,9.0,-0.023857686185725663,0.05611539937987198,0.5254960195232554,0.5965160025246691,continuous_symmetric,gaussianize,4226,929,317
wais_digitspan_std,cognition,gaussian,continuous,-1,6335,0.2971263730167536,19,0.15516969218626678,0.0,1.0,19.0,9.254775059194948,2.911284770358517,9.0,0.25647236922963185,0.3176365665218679,8.146821790244054e-20,0.00012499801537241645,continuous_symmetric,gaussianize,4223,1805,307
wais_ivt_index,cognition,gaussian,continuous,-1,4959,0.4497947409297681,49,0.08328291994353701,0.0,50.0,148.0,95.56382335148216,15.606651274591425,94.0,-0.05901724134792783,0.39004515501228854,2.596462783610813e-06,2.443020370644459e-05,continuous_symmetric,gaussianize,4213,432,314
wais_similitudes_std,cognition,gaussian,continuous,-1,2536,0.7186286475091535,19,0.10962145110410094,0.0,1.0,19.0,10.89826498422713,3.757419178434148,11.0,-0.1659696171101235,-0.47739796817938807,2.380563994606927e-12,3.5715273835542155e-15,continuous_symmetric,gaussianize,441,1792,303
autneuro_mhoccur,developmental_risk,bernoulli,explicit,1,7050,0.2177965161433485,2,0.9746099290780141,0.9746099290780141,0.0,1.0,0.025390070921985815,0.15730675516506704,0.0,6.03419641553207,34.411526381220085,0.0,,binary,keep_binary,4645,1915,490
ctq41,developmental_risk,bernoulli,explicit,1,7705,0.14512371019638304,2,0.7213497728747567,0.7213497728747567,0.0,1.0,0.27865022712524334,0.44833500649435537,0.0,0.9874302459919264,-1.0249815093003238,0.0,,binary,keep_binary,5877,1828,0
epilepsie_mhoccur,developmental_risk,bernoulli,explicit,1,7144,0.20736713635859316,2,0.9764837625979843,0.9764837625979843,0.0,1.0,0.023516237402015677,0.1515362134292253,0.0,6.288711481107782,37.54789209261684,0.0,,binary,keep_binary,4708,1940,496
honeonat,developmental_risk,bernoulli,explicit,1,5853,0.3506046821258183,2,0.9183324790705621,0.9183324790705621,0.0,1.0,0.0816675209294379,0.27385751213848,0.0,3.0551104901517285,7.333700107035128,0.0,,binary,keep_binary,4077,1385,391
mere_structure,developmental_risk,bernoulli,explicit,1,7549,0.1624320426051259,2,0.5253675983573983,0.4746324016426017,0.0,1.0,0.5253675983573983,0.4993560703081297,1.0,-0.10160124154191284,-1.9896771877171417,0.0,,binary,keep_binary,5187,1897,465
