item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
isf01,suicidality,suicidality,explicit,bernoulli,primary,2.254144361019563,2.254144361019563,2.1114368046170013,2.400658995039912,True
isf02,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.18683572148991634,0.18683572148991634,0.12739576276994827,0.2460058709919836,True
isf02,suicidality,suicidality,explicit,bernoulli,primary,2.2360400579223922,2.2360400579223922,2.108244364079005,2.3741120089024097,True
isf03,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.259665834461816,0.259665834461816,0.19108219137122723,0.3268536708851013,True
isf03,suicidality,suicidality,explicit,bernoulli,primary,3.0700683488535385,3.0700683488535385,2.8775802920487172,3.265547298103181,True
isf04,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.08119861247057791,0.08119861247057791,0.01857141510723856,0.1412092883034838,True
isf04,suicidality,suicidality,explicit,bernoulli,primary,2.5288294188737996,2.5288294188737996,2.3904214792430905,2.676028698896147,True
isf05,overall_severity,suicidality,explicit,bernoulli,bifactor_G,0.06961654477916418,0.06961654477916418,-0.008077870004781865,0.14909388734384488,False
isf05,suicidality,suicidality,explicit,bernoulli,primary,4.537896457511888,4.537896457511888,4.277322905673428,4.824900092666551,True
isf07,overall_severity,suicidality,continuous,gaussian,bifactor_G,0.018212278697206777,0.018212278697206777,0.00540143960390011,0.030994279445550183,True
isf07,suicidality,suicidality,continuous,gaussian,primary,0.5428214577612398,0.5428214577612398,0.5286373578204419,0.5573111717760004,True
isf08,overall_severity,suicidality,explicit,bernoulli,bifactor_G,-0.08530302208255659,0.08530302208255659,-0.15701167682071956,-0.011492647992030371,True
isf08,suicidality,suicidality,explicit,bernoulli,primary,1.8210628628267589,1.8210628628267589,1.6690785264933132,1.9846017631362343,True
isf08a,overall_severity,suicidality,explicit,ordered_logistic,bifactor_G,-0.09046039728346258,0.09046039728346258,-0.16190868813698567,-0.017961322521895976,True
isf08a,suicidality,suicidality,explicit,ordered_logistic,primary,1.7421349336606,1.7421349336606,1.6041492136962863,1.8993266488644647,True
isf09,overall_severity,suicidality,explicit,bernoulli,bifactor_G,-0.019866908127710654,0.019866908127710654,-0.09472817219933291,0.055217965222396595,False
isf09,suicidality,suicidality,explicit,bernoulli,primary,2.6220243109700148,2.6220243109700148,2.416146789117714,2.85012586013487,True
isf09a,overall_severity,suicidality,explicit,neg_binomial,bifactor_G,-0.012621908698577725,0.012621908698577725,-0.07760604898032276,0.05192893901608289,False
isf09a,suicidality,suicidality,explicit,neg_binomial,primary,1.9082749823497407,1.9082749823497407,1.7889045927522336,2.034371460573561,True
ldl,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,-0.040448600196724194,0.040448600196724194,-0.0633946932058886,-0.0170774582898884,True
ldl,immunometabolic,immunometabolic,continuous,gaussian,primary,0.12847089671844897,0.12847089671844897,0.10332550978005729,0.15362131165874673,True
lvsbjind,overall_severity,overall_severity,continuous,gaussian,g_anchor,0.013564371125429797,0.013564371125429797,0.001070287292449923,0.0318084051110516,True
lym_lbstresc,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,-0.04736702385451663,0.04736702385451663,-0.07372817258867388,-0.021232670714957505,True
lym_lbstresc,immunometabolic,immunometabolic,continuous,lognormal,primary,0.0008970249400327658,0.0008970249400327658,3.920702623467476e-05,0.004427354234700894,True
madrs,overall_severity,,continuous,gaussian,window,0.7591633607340108,0.7591633607340108,0.7418754494618164,0.7766619888112303,True
madrs,cognition,,continuous,gaussian,window,-0.037677790597795094,0.037677790597795094,-0.058391883510732864,-0.01660873356580928,True
madrs,sleep,,continuous,gaussian,window,0.13577043791827229,0.13577043791827229,0.11889036414712267,0.15218549632040532,True
